broad_id,name,canonical_smiles,clean_smiles
BRD-A01907367-001-01-7,FK-33-824,"C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CC[S@@](C)=O |a:1,5,23,34,&1:39|",C[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)NCC(=O)N(C)[C@@H](Cc1ccccc1)C(=O)N[C@H](CO)CC[S@@](C)=O
BRD-A01976766-001-04-3,malathion,"CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC |&1:6,r|",CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC
BRD-A02006392-001-15-6,nitrendipine,"CCOC(=O)C1=C(C)NC(C)=C([C@@H]1c1cccc(c1)[N+]([O-])=O)C(=O)OC |r,c:5,10|",CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C@@H]1c1cccc([N+](=O)[O-])c1
BRD-A02180903-001-04-5,betamethasone,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,C[C@H]1CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
BRD-A02232681-001-01-8,isoleucine,"CC[C@@H](C)[C@@H](N)C(O)=O |&1:2,&2:4,r|",CC[C@@H](C)[C@@H](N)C(=O)O
BRD-A02309928-001-04-1,lamivudine,Nc1ccn(C2CSC(CO)O2)c(=O)n1,Nc1ccn(C2CSC(CO)O2)c(=O)n1
BRD-A02473266-001-01-1,cevipabulin,CNCCCOc1cc(F)c(c(F)c1)-c1c(Cl)nc2ncnn2c1NC(C)C(F)(F)F,CNCCCOc1cc(F)c(-c2c(Cl)nc3ncnn3c2NC(C)C(F)(F)F)c(F)c1
BRD-A02532772-003-01-7,talopram,CNCCC[C@]1(OC(C)(C)c2ccccc12)c1ccccc1 |&1:5|,CNCCC[C@@]1(c2ccccc2)OC(C)(C)c2ccccc21
BRD-A02710418-001-15-9,meptazinol,CC[C@]1(CCCCN(C)C1)c1cccc(O)c1 |&1:2|,CC[C@@]1(c2cccc(O)c2)CCCCN(C)C1
BRD-A02743701-001-03-6,cilnidipine,COCCOC(=O)C1=C(C)NC(C)=C(C1c1cccc(c1)[N+]([O-])=O)C(=O)OC\C=C\c1ccccc1,COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC/C=C/c2ccccc2)C1c1cccc([N+](=O)[O-])c1
BRD-A02759312-003-24-5,betaxolol hydrochloride,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
BRD-A02933148-001-01-8,isotiquimide,"Cc1ccnc2[C@@H](CCCc12)C(N)=S |&1:6,r|",Cc1ccnc2c1CCC[C@H]2C(N)=S
BRD-A02971356-001-07-2,ibotenic-acid,"N[C@@H](C(O)=O)c1cc(=O)[nH]o1 |&1:1,r|",N[C@@H](C(=O)O)c1cc(=O)[nH]o1
BRD-A02990301-003-05-8,lofexidine,"C[C@@H](Oc1c(Cl)cccc1Cl)C1=NCCN1 |r,t:12|",C[C@@H](Oc1c(Cl)cccc1Cl)C1=NCCN1
BRD-A03061970-003-07-3,alizapride hcl,COc1cc2[nH]nnc2cc1C(=O)NCC1CCCN1CC=C,C=CCN1CCCC1CNC(=O)c1cc2nn[nH]c2cc1OC
BRD-A03216249-003-23-5,mepivacaine,CN1CCCC[C@@H]1C(=O)Nc1c(C)cccc1C |&1:6|,Cc1cccc(C)c1NC(=O)[C@H]1CCCCN1C
BRD-A03359064-001-02-3,ICI-89406,"O[C@@H](CNCCNC(=O)Nc1ccccc1)COc1ccccc1C#N |&1:1,r|",N#Cc1ccccc1OC[C@@H](O)CNCCNC(=O)Nc1ccccc1
BRD-A03757454-001-03-4,floxuridine,OC[C@H]1OC(C[C@H]1O)n1cc(F)c(=O)[nH]c1=O,O=c1[nH]c(=O)n(C2C[C@@H](O)[C@@H](CO)O2)cc1F
BRD-A03880619-001-02-8,bismuth subcitrate potassium,OC(=O)CC(O)(CC(=O)O[Bi]1OC(=O)CC(O)(CC(O)=O)C(=O)O1)C(O)=O,O=C(O)CC(O)(CC(=O)[O][Bi]1[O]C(=O)CC(O)(CC(=O)O)C(=O)[O]1)C(=O)O
BRD-A04203391-001-08-3,piricapiron,CC1(C)C2CCC1(C)C(=O)N(CCCCN1CCN(CC1)c1ccccn1)C2=O,CC12CCC(C(=O)N(CCCCN3CCN(c4ccccn4)CC3)C1=O)C2(C)C
BRD-A04322457-003-15-3,isoprenaline,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1 |&1:5|,CC(C)NC[C@@H](O)c1ccc(O)c(O)c1
BRD-A04327189-001-16-9,synephrine (oxedrine),CNCC(O)c1ccc(O)cc1,CNCC(O)c1ccc(O)cc1
BRD-A04352665-001-05-3,maraviroc,CC(C)c1nnc(C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1,Cc1nnc(C(C)C)n1C1CC2CCC(C1)N2CC[C@H](NC(=O)C1CCC(F)(F)CC1)c1ccccc1
BRD-A04447196-001-01-8,gepefrine,"C[C@@H](N)Cc1cccc(O)c1 |&1:1,r|",C[C@@H](N)Cc1cccc(O)c1
BRD-A04497688-001-03-4,trilostane,"C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=O)[C@@H](C[C@]35C)C#N)[C@@H]1CC[C@@H]2O |a:1,4,5,8,10,15,19,22,&1:13|",C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4C(=O)[C@H](C#N)C[C@]35C)[C@@H]1CC[C@@H]2O
BRD-A04506385-001-01-2,stepronin,"C[C@@H](SC(=O)c1cccs1)C(=O)NCC(O)=O |&1:1,r|",C[C@@H](SC(=O)c1cccs1)C(=O)NCC(=O)O
BRD-A04553218-050-16-2,chlorpheniramine maleate,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
BRD-A04649065-001-01-7,LM11A-31,"CC[C@@H](C)[C@@H](N)C(=O)NCCN1CCOCC1 |&1:2,&2:4,r|",CC[C@@H](C)[C@@H](N)C(=O)NCCN1CCOCC1
BRD-A04661934-001-02-9,2-PMDQ,"O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(CC3)c3ccccc3)CN12 |&1:11,r,t:10|",O=C1Nc2ccccc2C2=N[C@@H](CN3CCN(c4ccccc4)CC3)CN12
BRD-A04843135-001-09-9,oxamniquine,[O-][N+](=O)c1c(cc2c(c1)NC(CC2)CNC(C)C)CO,CC(C)NCC1CCc2cc(CO)c([N+](=O)[O-])cc2N1
BRD-A04915500-002-01-3,7-((r)-2-amino-2-phenylacetamido)-3-chloro-8-oxo-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid hydrate,N[C@@H](C(=O)NC1C2CCC(Cl)=C(N2C1=O)C(O)=O)c1ccccc1,N[C@@H](C(=O)NC1C(=O)N2C(C(=O)O)=C(Cl)CCC12)c1ccccc1
BRD-A04971881-003-01-3,cloranolol,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1Cl |&1:6|,CC(C)(C)NC[C@@H](O)COc1cc(Cl)ccc1Cl
BRD-A05186015-003-19-8,amfebutamone hcl,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1
BRD-A05334458-001-02-8,lisofylline,"C[C@@H](O)CCCCn1c(=O)n(C)c2ncn(C)c2c1=O |&1:1,r|",C[C@@H](O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O
BRD-A05457250-001-08-4,BAY-K-8644-(+/-),"COC(=O)C1=C(C)NC(C)=C([C@@H]1c1ccccc1C(F)(F)F)[N+]([O-])=O |r,c:4,9|",COC(=O)C1=C(C)NC(C)=C([N+](=O)[O-])[C@@H]1c1ccccc1C(F)(F)F
BRD-A05515753-001-02-4,erdosteine,"OC(=O)CSCC(=O)N[C@H]1CCSC1=O |&1:9,r|",O=C(O)CSCC(=O)N[C@H]1CCSC1=O
BRD-A05523972-001-01-5,telmesteine,"CCOC(=O)N1CSC[C@@H]1C(O)=O |&1:9,r|",CCOC(=O)N1CSC[C@@H]1C(=O)O
BRD-A05674712-001-06-0,"D,L-mevalonic-acid-lactone","C[C@@]1(O)CCOC(=O)C1 |&1:1,r|",C[C@@]1(O)CCOC(=O)C1
BRD-A05906449-004-01-1,lappaconite hbr,CCN1C[C@@]2(CC[C@@H](OC)[C@@]34[C@H]5C[C@H]6[C@H](OC)[C@]5(O)[C@](O)(C[C@@H]6OC)[C@H](C[C@H]23)C14)OC(=O)c1ccccc1NC(C)=O,CCN1C[C@]2(OC(=O)c3ccccc3NC(C)=O)CC[C@@H](OC)[C@]34C1[C@@H](C[C@H]23)[C@@]1(O)C[C@H](OC)[C@H]2C[C@H]4[C@]1(O)[C@H]2OC
BRD-A05926236-001-03-8,lumefantrine,"CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2\C(=C/c3ccc(Cl)cc3)c3cc(Cl)ccc3-c12 |&1:10,r|",CCCCN(CCCC)C[C@@H](O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
BRD-A06016120-001-01-0,bacitracin zinc,CC[C@H](C)[C@H](N)C1=NCC(S1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H]1CCC(=O)O[Zn]OC(=O)C[C@H]2NC(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC(=O)[C@H](CCCCNC(=O)[C@H](CC(N)=O)NC2=O)NC(=O)[C@@H](NC1=O)[C@H](C)CC)[C@H](C)CC,CC[C@@H](C)[C@@H]1NC(=O)[C@@H](CCCN)NC(=O)[C@@H]2CCCCNC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](CC(=O)[O][Zn][O]C(=O)CC[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)C3CN=C([C@@H](N)[C@@H](C)CC)S3)C(=O)N[C@@H]([C@H](C)CC)C(=O)N2)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](Cc2ccccc2)NC1=O
BRD-A06352418-001-24-2,terfenadine,"CC(C)(C)c1ccc(cc1)[C@@H](O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1 |&1:10,r|",CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
BRD-A06390036-001-04-6,hydroquinidine,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,CC[C@H]1CN2CCC1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12
BRD-A06426627-001-03-5,diclazuril,"Clc1ccc(cc1)[C@@H](C#N)c1c(Cl)cc(cc1Cl)-n1ncc(=O)[nH]c1=O |&1:7,r|",N#C[C@H](c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl
BRD-A06596811-236-03-3,micafungin (sodium),CCCCCOc1ccc(cc1)-c1cc(no1)-c1ccc(cc1)C(=O)NC1C[C@@H](O)[C@@H](O)NC(=O)C2[C@@H](O)[C@@H](C)CN2C(=O)C(NC(=O)C(NC(=O)C2C[C@@H](O)CN2C(=O)C(NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c1ccc(O)c(OS(O)(=O)=O)c1)[C@H](O)CC(N)=O,CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)NC4C[C@@H](O)[C@@H](O)NC(=O)C5[C@@H](O)[C@@H](C)CN5C(=O)C([C@H](O)CC(N)=O)NC(=O)C([C@H](O)[C@@H](O)c5ccc(O)c(OS(=O)(=O)O)c5)NC(=O)C5C[C@@H](O)CN5C(=O)C([C@@H](C)O)NC4=O)cc3)no2)cc1
BRD-A06627858-236-02-2,sodium monensin,CC[C@]1(CC[C@@H](O1)[C@]1(C)CC[C@]2(C[C@H](O)[C@@H](C)[C@H](O2)[C@@H](C)[C@@H](OC)[C@H](C)C(O)=O)O1)C1O[C@H](C[C@@H]1C)C1O[C@@](O)(CO)[C@H](C)C[C@@H]1C,CC[C@@]1(C2O[C@@H](C3O[C@@](O)(CO)[C@H](C)C[C@@H]3C)C[C@@H]2C)CC[C@H]([C@]2(C)CC[C@]3(C[C@H](O)[C@@H](C)[C@@H]([C@@H](C)[C@@H](OC)[C@H](C)C(=O)O)O3)O2)O1
BRD-A06629414-001-02-3,silymarin,"COc1cc(ccc1O)[C@H]1Oc2ccc(cc2O[C@@H]1CO)[C@H]1Oc2cc(O)cc(O)c2C(=O)[C@@H]1O |&1:9,&2:18,&3:21,&4:33,r|",COc1cc([C@H]2Oc3ccc([C@H]4Oc5cc(O)cc(O)c5C(=O)[C@@H]4O)cc3O[C@@H]2CO)ccc1O
BRD-A06771424-004-01-7,anisotropine methylbromide,"CCCC(CCC)C(=O)O[C@H]1C[C@@H]2CC[C@H](C1)[N+]2(C)C |a:12,15,&1:10|",CCCC(CCC)C(=O)O[C@@H]1C[C@H]2CC[C@@H](C1)[N+]2(C)C
BRD-A06784547-001-02-6,MRS-1334,"CCOC(=O)C1=C(C)NC(=C([C@@H]1C#Cc1ccccc1)C(=O)OCc1ccc(cc1)[N+]([O-])=O)c1ccccc1 |&1:11,r,c:5,9|",CCOC(=O)C1=C(C)NC(c2ccccc2)=C(C(=O)OCc2ccc([N+](=O)[O-])cc2)[C@@H]1C#Cc1ccccc1
BRD-A06916187-001-02-9,CPI-613,"OC(=O)CCCC[C@@H](CCSCc1ccccc1)SCc1ccccc1 |&1:7,r|",O=C(O)CCCC[C@@H](CCSCc1ccccc1)SCc1ccccc1
BRD-A06935312-001-04-3,fusidic acid,C[C@@H]1[C@H](O)CC[C@@]2(C)[C@H]1CC[C@@]1(C)C2[C@H](O)C[C@@H]2[C@]1(C)C[C@H](OC(C)=O)\C2=C(/CCC=C(C)C)C(O)=O,CC(=O)O[C@H]1C[C@@]2(C)[C@@H](C[C@@H](O)C3[C@]2(C)CC[C@H]2[C@H](C)[C@H](O)CC[C@]32C)/C1=C(/CCC=C(C)C)C(=O)O
BRD-A07000685-001-04-4,hydrocortisone hemisuccinate,C[C@]12C[C@H](O)C3C(CCC4=CC(=O)CC[C@]34C)C1CC[C@]2(O)C(=O)COC(=O)CCC(O)=O,C[C@]12CCC(=O)C=C1CCC1C2[C@@H](O)C[C@@]2(C)C1CC[C@]2(O)C(=O)COC(=O)CCC(=O)O
BRD-A07164067-001-01-2,meluadrine,"CC(C)(C)NC[C@@H](O)c1ccc(O)cc1Cl |&1:6,r|",CC(C)(C)NC[C@@H](O)c1ccc(O)cc1Cl
BRD-A07207424-001-13-2,Ro-20-1724,"CCCCOc1cc(C[C@H]2CNC(=O)N2)ccc1OC |&1:9,r|",CCCCOc1cc(C[C@H]2CNC(=O)N2)ccc1OC
BRD-A07232941-001-02-7,8-M-PDOT,"CCC(=O)N[C@H]1CCc2cccc(OC)c2C1 |&1:5,r|",CCC(=O)N[C@H]1CCc2cccc(OC)c2C1
BRD-A07395371-003-10-0,esmolol hcl,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
BRD-A07440155-003-25-4,labetalol hydrochloride,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(c1)C(N)=O,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1
BRD-A07600638-060-04-5,meclocycline-sulfosalicylate,"CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(O)=C(C(N)=O)C1=O |a:3,4,5,7,23,&1:20,&2:27,t:22,29|",C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)[C@]3(O)C(O)=C(C(N)=O)C(=O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@H]12
BRD-A07704283-001-01-3,isofloxythepin,"CC(C)c1ccc2Sc3cc(F)ccc3C[C@@H](N3CCN(CCO)CC3)c2c1 |&1:16,r|",CC(C)c1ccc2c(c1)[C@H](N1CCN(CCO)CC1)Cc1ccc(F)cc1S2
BRD-A07780951-001-08-9,metaproterenol,CC(C)NCC(O)c1cc(O)cc(O)c1,CC(C)NCC(O)c1cc(O)cc(O)c1
BRD-A07815743-001-01-1,kakonein,"OC[C@H]1O[C@@H]([C@@H](O)[C@@H](O)[C@@H]1O)c1c(O)ccc2c1occ(-c1ccc(O)cc1)c2=O |&1:2,&2:4,&3:5,&4:7,&5:9,r|",O=c1c(-c2ccc(O)cc2)coc2c([C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)c(O)ccc12
BRD-A07947329-001-01-4,buparvaquone,"CC(C)(C)C1CCC(C[C@H]2C(=O)C(=O)c3ccccc3C2=O)CC1 |&1:9,r|",CC(C)(C)C1CCC(C[C@H]2C(=O)C(=O)c3ccccc3C2=O)CC1
